file,product_label,product_kind,sector_start,sector_stop,planet_candidate,period_days_rounded,period_days_rounded_err,depth_ppm_rounded,depth_ppm_rounded_err,planet_radius_rearth_rounded,planet_radius_rearth_rounded_err,stellar_radius_rsun_rounded,stellar_radius_rsun_rounded_err,semi_major_axis_au_rounded,semi_major_axis_au_rounded_err,insolation_earth_rounded,insolation_earth_rounded_err,equilibrium_temperature_k_rounded,equilibrium_temperature_k_rounded_err,chi2_dof,snr,odd_even_statistic,odd_even_significance_percent,core_aperture_correlation_statistic,core_aperture_correlation_significance_percent,halo_aperture_correlation_statistic,halo_aperture_correlation_significance_percent,core_halo_ratio,shorter_period_statistic,shorter_period_significance_percent,longer_period_statistic,longer_period_significance_percent,false_alarm_probability,transit_count,max_mes_pdf,joint_ra_offset_arcsec,joint_ra_offset_err_arcsec,joint_ra_offset_sigma,joint_dec_offset_arcsec,joint_dec_offset_err_arcsec,joint_dec_offset_sigma,joint_offset_distance_arcsec,joint_offset_distance_err_arcsec,joint_offset_distance_sigma,multi_sector_ra_offset_arcsec,multi_sector_ra_offset_err_arcsec,multi_sector_ra_offset_sigma,multi_sector_dec_offset_arcsec,multi_sector_dec_offset_err_arcsec,multi_sector_dec_offset_sigma,multi_sector_offset_distance_arcsec,multi_sector_offset_distance_err_arcsec,multi_sector_offset_distance_sigma
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0065-0000000081077799\tess2018206190142-s0001-s0065-0000000081077799-00728_dvr.pdf,S1-S65,multi_sector,1,65,1,9.2,0.0,3110.0,37.0,15.7,0.7,,,0.1,0.0,1125.1,175.6,1477.0,58.0,0.9,86.6,,,56.71,100.0,3.82,99.99,14.86,,,,,0.0,82.0,81.0,,,,,,,,,,,,,,,,,,
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0065-0000000081077799\tess2018206190142-s0001-s0065-0000000081077799-00728_dvr.pdf,S1-S65,multi_sector,1,65,2,1.6,0.0,191.0,15.0,4.1,0.4,,,0.0,0.0,11356.5,1772.1,2633.0,103.0,0.8,13.7,,,0.19,57.41,32.22,100.0,0.01,,,,,1.82e-27,467.0,11.4,,,,,,,,,,,,,,,,,,
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0096-0000000081077799\tess2018206190142-s0001-s0096-0000000081077799-01071_dvr.pdf,S1-S96,multi_sector,1,96,1,9.2,0.0,3128.0,30.0,15.7,0.7,,,0.1,0.0,1125.1,175.6,1477.0,58.0,0.8,106.0,,,74.14,100.0,6.87,100.0,10.79,,,,,0.0,159.0,99.4,0.114,2.5,0.05,2.24,2.5,0.9,2.25,2.5,0.9,0.154,2.65,0.06,2.06,2.79,0.74,2.07,2.79,0.74
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0096-0000000081077799\tess2018206190142-s0001-s0096-0000000081077799-01071_dvr.pdf,S1-S96,multi_sector,1,96,2,1.6,0.0,181.0,15.0,4.1,0.3,,,0.0,0.0,11356.2,1772.1,2633.0,103.0,0.8,14.7,,,-0.89,18.76,32.71,100.0,-0.03,,,,,2.04e-32,902.0,12.4,46.9,2.5,18.74,-30.4,2.5,-12.14,55.9,2.5,22.33,46.9,2.52,18.6,-30.5,2.61,-11.7,56.0,2.55,21.96
data\spoc_dv\mastDownload\TESS\tess2021091135823-s0037-0000000081077799-0208-s\tess2021092173506-s0037-s0037-0000000081077799-00478_dvr.pdf,S37,single_sector,37,37,1,9.2,0.0,3043.0,73.0,15.4,0.7,,,0.1,0.0,,,1477.0,58.0,0.8,42.0,,,28.53,,3.53,,8.09,,,,,0.0,2.0,42.6,,,,,,,,,,,,,,,,,,
data\spoc_dv\mastDownload\TESS\tess2023069172124-s0063-0000000081077799-0255-s\tess2023069204038-s0063-s0063-0000000081077799-00712_dvr.pdf,S63,single_sector,63,63,1,8.7,0.0,1093.0,83.0,9.6,0.6,,,0.1,0.0,1218.6,190.2,1507.0,59.0,1.2,16.3,,,8.75,100.0,0.76,77.7,11.48,,,,,5.28e-261,3.0,24.7,,,,,,,,,,,,,,,,,,
data\spoc_dv\mastDownload\TESS\tess2023096110322-s0064-0000000081077799-0257-s\tess2023096143437-s0064-s0064-0000000081077799-00720_dvr.pdf,S64,single_sector,64,64,1,9.2,0.0,3201.0,51.0,15.8,0.7,,,0.1,0.0,1125.0,175.6,1477.0,58.0,0.8,61.7,,,36.25,100.0,3.49,99.98,10.38,,,,,0.0,3.0,56.5,,,,,,,,,,,,,,,,,,
data\spoc_dv\mastDownload\TESS\tess2023096110322-s0064-0000000081077799-0257-s\tess2023096143437-s0064-s0064-0000000081077799-00720_dvr.pdf,S64,single_sector,64,64,2,1.6,0.0,212.0,25.0,4.7,0.4,,,0.0,0.0,11363.9,1773.3,2633.0,103.0,0.8,8.9,,,-0.53,29.83,18.97,100.0,-0.03,,,,,5.8e-13,17.0,7.5,,,,,,,,,,,,,,,,,,
data\spoc_dv\mastDownload\TESS\tess2025071122000-s0090-0000000081077799-0287-s\tess2025071153929-s0090-s0090-0000000081077799-00991_dvr.pdf,S90,single_sector,90,90,1,9.2,0.0,3180.0,53.0,15.8,0.7,,,0.1,0.0,1125.0,175.5,1477.0,58.0,0.9,61.3,,,45.98,100.0,2.51,99.4,18.29,,,,,0.0,3.0,58.7,,,,,,,,,,,,,,,,,,
data\spoc_dv\mastDownload\TESS\tess2026005125623-s0099-0000000081077799-0300-s\tess2026005143517-s0099-s0099-0000000081077799-01089_dvr.pdf,S99,single_sector,99,99,1,18.4,0.0,3112.0,65.0,15.7,0.7,,,0.1,0.0,446.5,69.7,1172.0,46.0,0.9,49.0,,,27.46,100.0,4.54,100.0,6.05,,,,,0.0,2.0,44.9,,,,,,,,,,-0.328,2.5,-0.13,0.698,2.51,0.28,0.771,2.51,0.31
