epoch,t_mid_btjd,parity,sector,n_points_window,depth_ppm,depth_err_ppm,n_in,n_out
0,2314.5211550001986,even,37,807,2376.5739616852243,98.21767489517195,162,421
1,2323.7435721001984,odd,37,808,2647.836704954387,106.49639482200065,162,420
76,3015.4248546001986,even,63,810,2860.412240299315,104.68637725449197,162,421
77,3024.647271700199,odd,63,810,2484.130046654709,104.36396335188624,162,421
78,3033.8696888001987,even,63,638,2596.7226434858712,107.47191473325606,158,290
79,3043.0921059001985,odd,64,809,2809.8195447470166,103.75483784886924,162,421
80,3052.3145230001987,even,64,810,2661.7915682642933,100.6697737533317,162,422
81,3061.5369401001985,odd,64,791,2881.4046463202512,119.85231373154306,157,412
156,3753.2182226001987,even,90,738,2827.0108940351424,108.64812271942753,162,349
157,3762.4406397001985,odd,90,809,2829.0374251419557,107.28839048275472,162,420
158,3771.6630568001983,even,90,810,2934.089221488967,104.0547634192937,162,421
188,4048.3355698001988,even,99,807,2711.2952735139916,103.65907497619347,162,418
190,4066.7804040001984,even,99,698,2779.8107922640816,115.59271758485863,162,310
191,4076.0028211001986,odd,100,810,2748.9372339657425,100.44142268591037,162,421
192,4085.2252382001984,even,100,805,2419.7704850944524,102.77117337194754,161,418
193,4094.4476553001987,odd,100,618,2466.172714880921,100.75364449548358,162,336
